0.046129,1.1974
0.046381,1.1939
0.046438,1.1939
0.046717,1.1904
0.046777,1.1904
0.047085,1.1868
0.047147,1.1868
0.047486,1.1832
0.04755,1.1832
0.047924,1.1796
0.047991,1.1796
0.048314,1.176
0.04847,1.176
0.04892,1.1724
0.048993,1.1724
0.049485,1.1688
0.049561,1.1688
0.050099,1.1652
0.050178,1.1652
0.016496,1.1616
0.050848,1.1616
0.05149,1.158
0.051575,1.1581
0.052276,1.1545
0.052364,1.1546
0.053128,1.1511
0.05322,1.1511
0.054051,1.1477
0.054147,1.1477
0.055052,1.1444
0.055152,1.1444
0.056136,1.1412
0.05624,1.1412
0.056006,1.1381
0.05742,1.1381
0.058583,1.1351
0.058698,1.1352
0.056307,1.1322
0.060083,1.1323
0.061459,1.1296
0.061585,1.1296
0.063058,1.127
0.062976,1.1271
0.063197,1.1247
0.038353,1.1248
0.065902,1.1226
0.066907,1.1227
0.06884,1.1207
0.068999,1.1208
0.071109,1.119
0.071279,1.1192
0.073585,1.1177
0.073767,1.1178
0.076292,1.1166
0.076487,1.1168
0.079257,1.1159
0.079468,1.116
0.082514,1.1155
0.082743,1.1157
0.086101,1.1156
0.086352,1.1158
0.090066,1.1161
0.090342,1.1164
0.094463,1.1172
0.094769,1.1174
0.09936,1.1188
0.099703,1.1191
0.10484,1.121
0.10522,1.1214
0.111,1.1241
0.11145,1.1244
0.11798,1.1279
0.11849,1.1284
0.12592,1.1328
0.12652,1.1333
0.13504,1.1388
0.13574,1.1394
0.14559,1.1462
0.14642,1.1469
0.1579,1.1552
0.15891,1.156
0.1724,1.1661
0.17364,1.1672
0.18967,1.1795
0.19119,1.1808
0.21041,1.1958
0.21228,1.1974
0.2355,1.2156
0.23779,1.2175
0.26598,1.2396
0.26869,1.2418
0.30283,1.2684
0.30586,1.2708
0.34673,1.302
0.34983,1.3044
0.39772,1.3403
0.40056,1.3424
0.45516,1.3822
0.45749,1.3839
0.51804,1.4268
0.51979,1.4281
0.58543,1.4732
0.58667,1.474
0.65663,1.5207
0.65749,1.5212
0.73123,1.5689
0.73182,1.5693
0.80892,1.6176
0.80933,1.6179
