Om,normR,smin,smax,cond,stepnorm
1.1715927550407870e+00,6.9182172461615607e-06,6.3082509895156555e-02,5.4901932928653885e+00,8.7031941214611109e+01,6.4964914429778734e-05
1.1735194457418259e+00,8.1062083305162092e-04,4.8555979288072496e-02,5.4902262841226275e+00,1.1307003513512230e+02,1.0421299108549139e-02
1.1748279079546693e+00,1.9037238924568526e-05,5.0215861504383293e-02,5.5041003470321677e+00,1.0960880052912604e+02,1.5048200063516416e-04
1.1788482004530063e+00,2.4852269256163554e-03,5.5767028132420023e-02,5.5463755210295780e+00,9.9456178799049297e+01,6.2598004355355948e-03
1.1787752782990712e+00,6.4243013421016849e-07,5.5142120191738080e-02,5.5455468253978033e+00,1.0056825537565547e+02,7.5793143831692048e-06
1.1828938148216603e+00,2.7394664236280185e-04,6.2051058097494109e-02,5.5888407757215717e+00,9.0068420218401940e+01,2.9077248219767497e-03
1.1830967558320364e+00,3.1884720670453986e-05,5.5389367433804113e-02,5.5915360367514184e+00,1.0094962798471870e+02,2.3312002987883665e-04
1.1831042889662280e+00,1.4332522465816430e-08,5.5418986304093844e-02,5.5916178534660688e+00,1.0089715143441755e+02,2.6871373942608154e-08
1.1876140623745839e+00,9.2337536168293560e-04,6.1619868336923969e-02,5.6370665228287287e+00,9.1481313981498332e+01,6.5064956002653957e-03
1.1869243337868716e+00,5.8479795164239921e-06,6.0438137539978488e-02,5.6296316676436158e+00,9.3147007779975667e+01,7.1127109842493240e-05
1.1908184074220887e+00,1.0569996091991131e-03,7.0504853241311227e-02,5.6856347354568744e+00,8.0641749809720395e+01,2.9555379798674140e-03
1.1907742015893441e+00,1.9167707622665261e-07,7.0183118865091210e-02,5.6851502851386124e+00,8.1004526117838040e+01,2.0252033902608310e-06
1.1942053349676001e+00,1.8884545697528691e-03,5.1794462170389459e-02,5.6823619955071578e+00,1.0970983687047001e+02,1.9794670082154599e-02
1.1925075433272823e+00,4.3539034433499960e-05,4.9303732809389607e-02,5.6638784507926774e+00,1.1487727456031534e+02,5.7157129088720201e-04
1.1941955185468354e+00,5.7139098310935788e-04,7.0137649628620249e-02,5.6691542493026086e+00,8.0828973872390264e+01,6.5734062677856621e-03
