Om,normR,smin,smax,cond,stepnorm
1.1902702916379946e+00,2.8750269332255326e-04,4.6727633604150311e-02,5.5294627097586080e+00,1.1833389117456797e+02,9.5405832986736935e-04
1.1902570936815722e+00,1.8495852299457399e-07,4.6788648266447269e-02,5.5295364694330242e+00,1.1818115449593624e+02,1.3632166505078712e-06
1.1938021374751886e+00,2.9049971516677335e-04,4.6390600004359954e-02,5.5578688015036839e+00,1.1980592622172026e+02,9.5483320196352770e-04
1.1937856813756160e+00,1.8419711276824157e-07,4.4827070062358927e-02,3.6034444655583577e+01,8.0385455943152363e+02,1.3281696551896151e-06
1.1972950885043869e+00,2.9360044944261836e-04,4.6082698716892634e-02,5.5861019798219989e+00,1.2121907213247235e+02,9.5658410944294420e-04
1.1972755872604206e+00,1.8335287737599241e-07,4.6139018940404355e-02,5.5861150244152764e+00,1.2107138714047223e+02,1.2932946463314499e-06
1.2007433722986991e+00,2.9679079890939812e-04,4.5801774807907300e-02,5.6141059830926192e+00,1.2257398335846563e+02,9.5935247653140365e-04
1.2007210304768725e+00,1.8243184720631274e-07,4.5855866022830247e-02,5.6140914013106009e+00,1.2242907807074268e+02,1.2606686983847952e-06
1.2041416176029323e+00,3.0005716223005275e-04,4.5545830695078657e-02,1.1166418568968497e+01,2.4516884198963697e+02,9.6318446711160706e-04
1.2041166314139715e+00,1.8143621184522218e-07,4.5597758804161989e-02,5.6417870546709139e+00,1.2372948150591895e+02,1.2292104123254827e-06
1.2074848368206270e+00,3.0338592477283403e-04,4.5312987181127237e-02,5.6692168922531714e+00,1.2511240694840768e+02,9.6813143125582229e-04
1.2074573937769031e+00,1.8037348962229941e-07,4.5362816769852411e-02,5.6691517153682698e+00,1.2497353822031441e+02,1.1991509671504464e-06
1.2107684080690377e+00,3.0676377746240478e-04,4.5101501369942711e-02,5.6962261624313770e+00,1.2629792777203534e+02,9.7425356463302665e-04
1.2107386865734140e+00,1.7924543028673938e-07,4.5149288446018898e-02,5.6961378706719801e+00,1.2616229550289280e+02,1.1701443322665036e-06
1.2139880559683711e+00,3.1017767433194908e-04,4.4909733346956325e-02,5.7228107103234995e+00,1.2742918480747008e+02,9.8161534168712122e-04
1.2139562255375846e+00,1.7809540094532461e-07,4.4955537020692639e-02,5.7227010613948206e+00,1.2729691247511316e+02,1.1425188270152558e-06
1.2171398339299082e+00,3.1361533507827779e-04,4.4736166820969266e-02,5.7489287937872611e+00,1.2850740692187679e+02,9.9029327642975512e-04
1.2171060547992170e+00,1.7690223449430594e-07,4.4780034837317316e-02,5.7487988743065515e+00,1.2837861549664999e+02,1.1158970710047659e-06
1.2202201045390120e+00,3.1706431622773875e-04,4.4579374130449149e-02,5.7745408263038476e+00,1.2953391425833522e+02,1.0003681136192314e-03
1.2201845281972767e+00,1.7567074062671914e-07,4.4621349620482108e-02,5.7743919756587907e+00,1.2940872530238815e+02,1.0905634052401426e-06
1.2232255217045949e+00,3.2051321761120377e-04,2.8985921264723283e-02,5.8572038866027469e+00,2.0207064778483118e+02,1.0119110219906401e-03
1.2231882933214355e+00,1.7456808034433618e-07,4.4478168723693111e-02,5.7994432169654955e+00,1.3038853404673080e+02,1.0454506874535412e-06
1.2261530161742651e+00,3.2395179434807858e-04,4.4310904999085854e-02,5.8241008384778601e+00,1.3143718997835890e+02,1.0251226527300391e-03
1.2261142620156904e+00,1.7319977196109698e-07,4.4349250552557860e-02,5.8239178349031802e+00,1.3131941943418667e+02,1.0433261417346472e-06
1.2289997656082194e+00,3.2736693218375488e-04,4.3855686119071605e-02,5.8736493042212903e+00,1.3393130569828219e+02,1.0400003650708602e-03
1.2289596165333174e+00,1.7157608925121439e-07,3.8122161894240600e-02,6.5309174785748629e+00,1.7131550662559715e+02,1.0197279377663168e-06
1.2317631955458712e+00,3.3075018480033345e-04,4.3523573661429643e-02,6.2597226200231386e+00,1.4382372800353181e+02,1.0567819167752891e-03
1.2317217650424157e+00,1.6370718553367301e-07,4.3579448564438794e-02,5.8710089894473256e+00,1.3471967137826795e+02,1.0298421026830911e-06
1.2344409654530999e+00,3.3409277892188080e-04,4.4000262954487730e-02,5.9399518202273160e+00,1.3499809822435347e+02,1.0756907441693715e-03
1.2343983439764357e+00,1.6913346507039678e-07,2.3583508962289685e-02,1.0291418144728645e+01,4.3638197187639662e+02,9.6178709777878045e-07
1.2370308678402409e+00,3.3738753959177862e-04,4.3585192810464489e-02,5.9669570288363794e+00,1.3690330692775453e+02,1.0965509159444476e-03
1.2369871915666115e+00,1.6854207558143071e-07,4.3954197766948692e-02,5.9154284183841304e+00,1.3458164905542264e+02,9.7452789060799930e-07
1.2395309918678159e+00,3.4062021256625163e-04,4.3847469861530423e-02,1.5909932981004488e+01,3.6284722998266011e+02,1.1198817928974177e-03
1.2394863441655863e+00,1.6684652939583570e-07,1.3189739571766616e-02,1.7884287814669658e+01,1.3559242559232928e+03,9.5553941399407610e-07
1.2419395670534052e+00,3.4376269490343206e-04,4.3753856477045994e-02,5.9579644519035142e+00,1.3617004149175199e+02,1.1458825613280010e-03
1.2418940077031559e+00,1.6568911759643414e-07,4.3781845776428706e-02,6.0239799895693134e+00,1.3759081835724035e+02,8.7508948076940116e-07
