Om,normR,smin,smax,cond,stepnorm
1.1476195803239215e+00,1.8631714040097912e-07,5.4179232464880517e-02,5.2007717803408777e+00,9.5991979652204677e+01,1.9454384857499577e-06
1.1509546390460317e+00,2.6544192034886878e-04,5.3153973950925554e-02,5.2250156000209289e+00,9.8299622994226709e+01,1.0034446506968168e-03
1.1509934587302009e+00,1.8653231718943421e-07,5.3249484628161169e-02,5.2255665481099589e+00,9.8133654900134005e+01,1.8820493676023948e-06
1.1544023982124394e+00,2.6635191071545971e-04,5.2300208213515789e-02,5.2506433942756106e+00,1.0039431148801243e+02,9.9470579438196214e-04
1.1544351174330172e+00,1.8676366666173792e-07,5.2391684031517428e-02,5.2511393561942858e+00,1.0022848956401825e+02,1.8222505040435529e-06
1.1579058007332939e+00,2.6752865195470962e-04,5.1512849153533984e-02,5.2769455615708099e+00,1.0243940392120187e+02,9.8684079556274665e-04
1.1579327236389363e+00,1.8697901929117974e-07,5.1600529395344027e-02,5.2773891708265062e+00,1.0227393464111806e+02,1.7657544719757820e-06
1.1614536254115533e+00,2.6895398515659790e-04,5.0787066164618491e-02,5.3038257853259090e+00,1.0443260825766880e+02,9.7982022874880999e-04
1.1614750433166250e+00,1.8714135499350727e-07,5.0871170221288647e-02,5.3042194919920069e+00,1.0426769167917212e+02,1.7121785728687787e-06
1.1650352253885974e+00,2.7061215708192195e-04,5.0118413426998992e-02,5.3311920747457249e+00,1.0637192421326310e+02,9.7364473203480361e-04
1.1650514180496325e+00,1.8723140798518506e-07,3.0268498753436960e-02,1.1587506241005448e+02,3.8282394959180779e+03,1.6615506790131661e-06
1.1686405067335370e+00,2.7248795484841905e-04,4.9502781128552636e-02,5.3589565976809697e+00,1.0825566716674803e+02,9.6829905457983614e-04
1.1686517456211263e+00,1.8723203328355164e-07,4.9580284952273054e-02,5.3592576634380631e+00,1.0809251436527622e+02,1.6126810696733633e-06
1.1722599144592216e+00,2.7456655777980353e-04,4.8936371794635551e-02,5.3870353025307454e+00,1.1008244185199845e+02,9.6378194768315898e-04
1.1722664632509294e+00,1.8713034212819773e-07,4.9010817483948484e-02,5.3872933794699405e+00,1.0992049625032945e+02,1.5663506083852726e-06
1.1758844172866729e+00,2.7683357765983808e-04,4.8415659942030592e-02,5.4153480944356138e+00,1.1185116759576466e+02,9.6010008485074197e-04
1.1758865323278791e+00,1.8691665892846533e-07,4.8487187761060119e-02,5.4155652327923276e+00,1.1169064412396274e+02,1.5220937052834654e-06
1.1795054940181304e+00,2.7927476637147619e-04,4.7937372513931098e-02,5.4438183276078824e+00,1.1356104938846727e+02,9.5727233938559125e-04
1.1795034240158380e+00,1.8659190125452270e-07,4.8006109697242956e-02,5.4439967133429246e+00,1.1340216375949288e+02,1.4797624153281833e-06
1.1831151173999150e+00,2.8187612875314521e-04,4.7498465251477322e-02,5.4723732840099775e+00,1.1521158115397787e+02,9.5530673160367462e-04
1.1831091050576623e+00,1.8615445495795871e-07,4.7564525639407509e-02,5.4725148009970530e+00,1.1505454385238397e+02,1.4392289750499238e-06
1.1867057426841896e+00,2.8462352958750706e-04,4.7096100041369701e-02,5.5009434641138268e+00,1.1680252630858482e+02,9.5422655628381661e-04
1.1866960234541879e+00,1.8560047262561516e-07,4.7159589379163737e-02,5.5010500716365334e+00,1.1664753964263802e+02,1.4004068924709933e-06
